word,frequency
the,9338
and,4980
a,4930
of,4844
to,4059
is,3487
in,2949
I,1895
that,1883
it,1673
this,1642
/><br,1632
as,1502
with,1378
for,1374
was,1273
The,1039
but,1004
on,994
film,965
his,890
movie,872
are,852
not,811
you,792
be,787
her,781
at,764
by,756
have,724
one,710
an,665
who,663
from,619
has,563
he,554
all,528
she,527
like,479
about,468
so,458
very,446
they,446
out,421
more,410
some,405
just,405
This,396
what,381
when,378
their,375
or,374
can,372
which,364
It,360
story,348
would,332
my,325
see,320
only,320
will,316
really,314
up,314
had,314
it's,303
if,298
great,294
-,293
been,287
good,286
most,283
also,280
than,267
other,259
get,258
were,256
there,255
love,254
me,254
best,252
its,250
/>The,247
how,241
into,239
much,239
because,235
no,233
we,232
time,224
him,221
even,221
well,219
think,214
first,210
many,208
being,207
A,207
<br,204
do,202
i,201
where,192
after,188
people,183
it.,182
two,182
way,181
But,179
know,178
films,177
make,176
never,175
did,174
made,171
could,171
seen,169
them,169
any,168
scene,168
such,165
little,164
"film,",162
character,156
It's,156
your,151
those,151
movies,148
does,148
don't,147
watch,144
life,144
still,144
In,144
ever,143
movie.,142
real,142
over,142
lot,141
film.,140
And,139
then,139
through,138
horror,138
makes,135
He,135
too,134
always,134
find,134
If,133
another,130
acting,130
scenes,129
between,127
quite,127
same,126
plot,125
years,125
something,123
characters,123
/>I,122
go,121
saw,120
say,118
back,117
man,117
end,116
should,116
better,115
There,114
may,114
She,114
young,111
"movie,",110
both,110
music,109
these,109
Custer,109
few,108
seems,107
part,107
before,106
actually,106
off,106
while,104
every,103
want,103
I've,103
doesn't,103
own,101
each,101
gets,100
bit,100
must,99
cast,98
things,98
They,98
can't,96
without,94
take,92
look,92
down,92
almost,90
work,90
going,88
I'm,88
didn't,87
found,86
performance,86
might,86
shows,85
actors,85
feel,85
give,84
old,84
woman,84
why,83
played,82
especially,82
last,81
plays,81
around,81
got,80
us,80
As,80
watching,80
fact,80
beautiful,79
"it,",79
kind,78
thought,77
director,77
here,77
excellent,77
though,76
worth,75
series,75
pretty,74
since,74
long,74
thing,73
show,73
ending,73
come,73
role,73
new,72
true,71
You,71
/>This,71
done,70
until,70
time.,70
version,70
"""The",69
our,69
main,68
read,68
American,68
far,68
TV,68
One,67
enough,66
bad,66
times,66
sure,66
least,66
during,66
high,66
&,66
certainly,65
DVD,64
yet,64
sex,64
put,64
whole,64
rather,63
trying,62
goes,62
final,62
having,62
wonderful,62
perfect,61
world,61
watched,61
When,61
comes,60
point,60
right,60
different,60
action,60
girl,60
hard,60
set,60
interesting,59
along,59
early,59
looking,59
let,59
French,59
job,59
For,58
used,58
isn't,58
wife,58
So,58
am,58
Hitchcock,58
probably,57
now,57
funny,57
that's,57
recommend,57
Hollywood,56
definitely,56
truly,56
takes,56
second,56
help,55
making,55
mother,55
comedy,55
later,55
family,55
able,55
Of,55
We,54
seem,54
home,54
Two,54
"story,",54
anyone,54
nothing,54
small,53
place,53
everything,53
At,53
fan,53
couple,53
big,53
play,52
--,52
believe,52
anything,52
short,52
fun,52
Christmas,52
course,51
school,51
heart,51
remember,51
gives,51
loved,51
he's,51
"However,",51
enjoy,50
father,50
guy,50
That,50
performances,50
Stewart,50
nice,50
women,50
three,50
original,49
THE,49
friends,49
simply,49
getting,49
actor,49
favorite,49
James,49
Not,49
away,49
again,49
become,49
"is,",49
understand,48
need,48
day,48
After,48
top,48
against,47
While,47
turns,47
came,47
"all,",47
person,47
use,47
classic,46
"however,",46
you're,46
production,46
try,46
wasn't,46
liked,46
wants,46
screen,46
(and,45
men,45
playing,45
went,45
said,45
everyone,45
tells,45
shot,44
side,44
Madonna,44
there's,44
(the,44
left,44
hope,44
under,44
keep,44
her.,44
story.,44
himself,44
viewer,44
moments,44
expect,43
several,43
she's,43
special,43
totally,43
book,43
cannot,43
sequence,43
friend,42
human,42
becomes,42
known,42
son,42
told,42
Stanwyck,42
seeing,42
late,42
together,42
What,42
David,42
live,41
/>It,41
highly,41
absolutely,41
Indian,41
romantic,41
Some,41
year,41
art,41
history,41
completely,41
felt,40
although,40
next,40
enjoyed,40
based,40
"me,",40
sense,40
you'll,40
someone,40
given,40
taken,40
start,39
full,39
Tale,39
order,39
gave,39
sort,39
fine,39
My,39
Doris,39
entire,39
effects,39
Flynn,39
line,38
lead,38
amazing,38
piece,38
once,38
others,38
them.,37
rest,37
relationship,37
perhaps,37
/>In,37
mind,37
beginning,36
tell,36
directed,36
